19:50:50–19:50:53  my companion says '就吃你做的饭吧。'
19:50:53–19:50:56  I say '滚你妈的！'
19:50:56–19:51:00  my companion says '瞳孔变大。'
19:51:00–19:51:09  I observe the ground floor lobby.
19:51:09–19:51:13  I say '我就在门口啊，原来。'
19:51:13–19:51:16  I approach the smart locker station.
19:51:17–19:51:20  I monitor my companion tapping the locker touchscreen.
19:51:20–19:51:24  I view the locker retrieval notice.
19:51:24–19:51:27  I say '我操，寄好贵，七，三十块钱，一个小时。'
19:51:28–19:51:37  I watch my companion enter locker number 7.
19:51:38–19:51:43  I view the payment method options.
19:51:44–19:51:49  I tap my phone to the Octopus reader.
19:51:50–19:51:57  I prepare to pay with Octopus.
19:51:58–19:52:01  I say '不是不是，就是我拍两次。'
19:52:02–19:52:05  I say '不是。就是我拍两次。'
19:52:06–19:52:13  I retrieve my backpack.
19:52:14–19:52:19  I hold my backpack.
19:52:20–19:52:23  I check the locker retrieval screen.
19:52:23–19:52:27  I walk toward the escalators.
19:52:27–19:52:32  I follow my companion.
19:52:33–19:52:37  I step onto the escalator.
19:52:38–19:52:41  I ride the escalator.
19:52:42–19:52:45  I open a Bilibili video.
19:52:46–19:52:49  I watch a video on Bilibili.
19:52:50–19:52:58  I watch a Bilibili spicy noodle challenge video.
19:52:58–19:53:07  I watch the Buldak challenge video timer finish.
19:53:07–19:53:13  I watch the next contestant in the video.
19:53:13–19:53:18  I browse the Bilibili recommendation feed.
19:53:18–19:53:20  I open the Jeff Bezos documentary video.
19:53:20–19:53:26  I watch a Bilibili video about Jeff Bezos on my phone.
19:53:26–19:53:27  I switch the video to fullscreen landscape mode.
19:53:27–19:53:33  I walk forward while watching the video.
19:53:34–19:53:43  I walk down the corridor watching the robotic arm video.
19:53:44–19:53:49  I continue walking while watching the spa segment of the video.
19:53:50–19:53:54  I watch a video about a $400K spa cabin.
19:53:55–19:53:58  I watch video footage of Jeff Bezos and Blue Origin.
19:53:59–19:54:04  I watch the video showcase the starry ceiling bathroom.
19:54:05–19:54:07  I watch the automated massage bed demonstration.
19:54:08–19:54:10  I watch five chefs preparing breakfast in the video.
19:54:11–19:54:15  I watch the dining room and thermostat adjustment.
19:54:16–19:54:20  I watch dates and oranges prepared for juice.
19:54:20–19:54:26  I watch a video on billionaire morning routines.
19:54:27–19:54:31  I watch video footage of Indian Creek Island estates.
19:54:32–19:54:35  I watch a supercar carbon fiber body demonstration.
19:54:36–19:54:42  I watch a segment featuring the $4.8M Koenigsegg CCXR Trevita.
