21:11:59–21:12:02  I say '我发誓，继续做。'.
21:12:02–21:12:06  I say '今天。周末。'.
21:12:06–21:12:09  I ask '今天吗？今天吗？'.
21:12:09–21:12:13  I say '周末你复习，周末我不打。'.
21:12:13–21:12:19  My friend says '那不如周末打扰我一下。周末晚上打扰我一下。'.
21:12:19–21:12:23  I ask '为啥今天不行？'.
21:12:23–21:12:28  My friend says '因为今天要要交论文。'.
21:12:29–21:12:33  I exit through the glass door.
21:12:34–21:12:37  Someone asks '哎，你们明天能游泳吗？'.
21:12:38–21:12:40  I say '可以啊。'.
21:12:41–21:12:44  My companion says '真的假的？十六号开，后天开。'.
21:12:45–21:12:48  I say '啊，那算了。'.
21:12:49–21:12:53  My companion says '笑死。'.
21:12:54–21:12:58  I walk along the sidewalk.
21:12:59–21:13:02  I exclaim '哇操！好爽啊！'.
21:13:02–21:13:06  I say '我咋记得是十五号来着？'.
21:13:06–21:13:09  I say '我咋记得是十五号？'.
21:13:09–21:13:12  I say '我不记得了。'.
21:13:12–21:13:16  I ask '这咋查的吧？'.
21:13:16–21:13:21  My companion says '你不是有那个图吗？开放图，时间图。'.
21:13:21–21:13:25  I say '没有啊，我没有，我哪来？'.
21:13:25–21:13:28  My companion says '你不是……'.
21:13:29–21:13:32  I say '我发了一天，我记。'
21:13:33–21:13:36  My companion says '没有给他发吧，不是跟你说的。'
21:13:37–21:13:39  I say '哦。'
21:13:40–21:13:42  I say '下铺。'
21:13:43–21:13:46  I look up the colorful staircase.
