15:18:08–15:18:13  I say '哎，这是上层好像，好像还得在下一层，I think.'
15:18:13–15:18:16  I pass the Jockey Club Tower entrance.
15:18:16–15:18:19  My companion says 'Yes, we need to go downstairs.'
15:18:19–15:18:23  I observe the wall posters.
15:18:23–15:18:26  I glance toward the courtyard.
15:18:26–15:18:29  I view the BEA Bank standee.
15:18:29–15:18:33  I say '不买了，那回去洗去。'
15:18:33–15:18:37  I follow my companion.
15:18:38–15:18:43  I walk with my companion as she says '哈哈，我想着想，哈哈，这么惨了，哈哈，不能再闹了'.
15:18:44–15:18:48  I walk past the seating area as my companion says '不喝叫什么？叫闹了。'
15:18:49–15:18:52  I walk past a structural pillar as my companion says '啊？我就要闹了。'
15:18:53–15:18:58  I say '闹了是吗？我就要开始闹了。'
15:18:59–15:19:04  I walk along the corridor as my companion says '啊哈哈，不知道湖南人乐乐不？'
15:19:05–15:19:07  I look at the potted greenery as my companion says '闹一个。'
15:19:08–15:19:12  my companion says '那挺好的。'
15:19:13–15:19:17  I walk forward along the corridor.
15:19:18–15:19:23  I say '我不认识啊，我指你呢。'
15:19:24–15:19:26  I look at the Chow Yei Ching Building glass door.
15:19:27–15:19:32  I glance at the seating area and building wall.
15:19:33–15:19:37  I continue walking down the concourse.
15:19:38–15:19:43  I walk toward the building entrance.
15:19:43–15:19:47  I glance at the directional signage.
15:19:47–15:19:53  I approach the automatic sliding doors.
15:19:53–15:19:57  I enter Composite Building.
15:19:57–15:20:01  I descend the wooden stairs.
15:20:01–15:20:04  I say '到了。'.
15:20:04–15:20:07  I examine the vending machines.
15:20:08–15:20:11  I turn toward the staircase.
15:20:11–15:20:16  I descend the stairs.
15:20:16–15:20:21  I walk down the staircase.
15:20:21–15:20:25  I observe a person across the atrium.
15:20:25–15:20:29  I reach the bottom landing.
15:20:29–15:20:33  I walk into the food court lobby.
15:20:33–15:20:37  I approach the restaurant area.
15:20:38–15:20:46  I walk towards Starbucks.
15:20:46–15:20:49  I look at the tray return station and poster stand.
15:20:49–15:20:53  I ask "你要哪个？上面的还是下面的？".
15:20:53–15:20:56  My companion says "上面的。".
15:20:56–15:21:02  I examine the iced seasonal drink on the poster.
15:21:02–15:21:06  I walk toward the Starbucks counter.
15:21:06–15:21:08  I say "哎，这怎么点？".
15:21:08–15:21:09  I say '哦，哦。'
15:21:09–15:21:12  I walk toward the ordering counter.
15:21:13–15:21:20  I examine the counter menu mat.
15:21:20–15:21:22  My companion says '哎，去哪里？我不要。'
15:21:22–15:21:23  I say '下一个紫薯鲜奶乌龙。'
15:21:23–15:21:24  The cashier says '乌龙茶那边要冰的热。'
15:21:24–15:21:25  I say '呃，少冰。少冰。少冰少甜。'
15:21:25–15:21:30  I open Alipay.
15:21:31–15:21:33  The cashier says '好，这个三十九块九。'
15:21:33–15:21:35  I say '等，等我一下。'
15:21:35–15:21:36  The cashier says '好。'
15:21:36–15:21:37  The cashier scans the payment barcode.
15:21:38–15:21:42  I scan my phone to pay ¥34.63.
15:21:43–15:21:49  I wait for the receipt.
15:21:50–15:21:51  I take the receipt.
15:21:52–15:21:55  I look at the food display case.
15:21:56–15:22:00  I examine the bakery display.
15:22:01–15:22:07  I hear 'That seems like better than paper stone. 这个看起来比 paper stone 那个还好吃。'
15:22:08–15:22:10  I say '这边儿都看上去都好吃'.
15:22:11–15:22:13  My companion says '这这个看上去好吃。'
15:22:14–15:22:17  I check my smartphone.
15:22:18–15:22:21  My companion says '这也好吃。'
15:22:22–15:22:26  I say '星巴克的面包竟然这么平价吗？'
15:22:27–15:22:29  I turn away from the display case.
15:22:30–15:22:33  I observe the cafe counter and seating area.
15:22:34–15:22:35  A customer says '过一下。'
15:22:36–15:22:37  I look toward the cafe seating area and exit doors.
15:22:38–15:22:44  I walk toward the wooden bench table.
15:22:44–15:22:46  I sit down on the bench.
15:22:46–15:22:48  I say '我今天没敲门。'.
15:22:48–15:22:55  I view WeChat messages on my friend's phone.
15:22:55–15:22:57  I view my phone lock screen.
15:22:57–15:23:00  I check the Starbucks payment details.
15:23:00–15:23:08  I read WeChat messages discussing summer vacation plans in Hong Kong.
15:23:08–15:23:19  I read a social post about summer plans.
15:23:20–15:23:28  I open the Mail app from the home screen.
15:23:29–15:23:32  I view the Mail inbox.
15:23:33–15:23:35  I switch to the sent mail folder.
15:23:35–15:23:37  I say '我把那个邮件一填，然后，哦，我发了一个邮件。'
15:23:38–15:23:41  My companion asks '这是你苹果自带的卡线吗？'
15:23:41–15:23:43  I reply '对。'
15:23:43–15:23:46  My companion asks '为何你的手机又没电了？'
15:23:46–15:23:49  I reply '对。'
15:23:49–15:23:54  My companion says '你又要霍霍我的充电宝？'
15:23:54–15:24:04  I watch my companion's phone screen.
15:24:04–15:24:08  I watch my companion open WeChat.
15:24:08–15:24:10  My companion says '不用，没事，我一般不用手机。'
15:24:11–15:24:16  I say '我好像从来没有见过你的手机电量在超过百分之三十。我 never seen. Why?'
15:24:17–15:24:21  I say '好好奇你到底每天是什么时候？'
15:24:22–15:24:29  I say '哦，我知道了，可能是你晚上给我打电话那个时候没电了，然后就充一下，然后充了之后早上起来就开始玩手机，没充电。'
15:24:30–15:24:34  I switch apps from WeChat to Safari.
15:24:35–15:24:37  I read the Capstone Project 3 document.
15:24:38–15:24:58  I read the Capstone Project 3 page.
15:24:59–15:25:01  I swipe to the home screen.
15:25:02–15:25:06  I browse my Outlook inbox.
15:25:07–15:25:07  I open an email about the MScAI capstone project.
15:25:08–15:25:12  I read the MScAI capstone project email.
15:25:12–15:25:14  I switch to WeChat.
15:25:14–15:25:20  I view a body composition formula image in the Capstone Project 3 group chat.
15:25:20–15:25:33  I type in the WeChat group chat.
15:25:33–15:25:37  I review chat messages and type in WeChat.
15:25:38–15:25:55  I type '家人们发下：姓名，学号，邮箱 电话，我注册下' in WeChat.
15:25:55–15:25:57  I check the sent WeChat message.
15:25:57–15:25:59  I look at my companion's phone.
15:25:59–15:26:04  I inspect the Starbucks receipt.
15:26:04–15:26:08  I hear '那多少啊？'.
15:26:08–15:26:14  I read the Starbucks receipt.
15:26:14–15:26:17  I read the body fat chart on the phone.
15:26:17–15:26:21  My companion asks '哎，你的是不是会被念号了？怎么没说没有号呢？'.
15:26:21–15:26:27  I scan the dining area.
15:26:27–15:26:30  I say '哦，他会喊。'.
15:26:30–15:26:35  I inspect the receipt.
15:26:35–15:26:38  I monitor the counter.
15:26:38–15:26:40  I look around the Starbucks cafe.
15:26:40–15:26:46  I look at my phone screen.
15:26:47–15:26:49  I watch the staff member walk past.
