21:15:26–21:15:28  My companion says '这瓶你带着吧。'
21:15:28–21:15:30  I say '带一瓶够了。'
21:15:30–21:15:31  My companion says '行。'
21:15:31–21:15:34  I pick up a bottle.
21:15:34–21:15:36  My companion says '你想死谁？走。'
21:15:36–21:15:39  I put on my backpack.
21:15:39–21:15:42  My companion says '所以说，不管你的垃不垃圾，咋了，'
21:15:42–21:15:46  I walk down the hallway.
21:15:46–21:15:48  I touch the tissue box.
21:15:48–21:15:52  My companion says '还要再待两年好点儿。'
21:15:52–21:15:55  I walk back to the dining area.
21:15:56–21:15:58  I look toward the bedroom.
21:15:59–21:16:00  I turn off the bedroom light.
21:16:01–21:16:04  I inspect the utility corner.
21:16:05–21:16:10  I walk toward the dining table.
21:16:11–21:16:16  I push in the dining chairs.
21:16:17–21:16:20  I turn off the main lights.
21:16:21–21:16:25  I say '把那个灯也关了。' to my companion.
21:16:26–21:16:29  My companion says '里头，我来过，我来过。'
21:16:29–21:16:32  My companion says '我们的垃圾已经臭了，你能闻到吗？'
21:16:32–21:16:36  My companion says 'But nobody care。'
21:16:36–21:16:39  My companion says '你要空气炸锅吗？'
21:16:39–21:16:42  I say '不用。'
21:16:42–21:16:45  My companion says 'Okay, it's good.'
21:16:45–21:16:48  I inspect the light switches.
21:16:48–21:16:53  I walk into the building hallway.
21:16:53–21:16:56  I check the elevator displays.
21:16:56–21:16:58  I turn toward the hallway.
21:16:58–21:17:01  I walk along the corridor.
21:17:01–21:17:07  I search inside the pouch.
21:17:07–21:17:10  I look up toward User A.
21:17:10–21:17:14  I open the shoe cabinet drawer.
21:17:14–21:17:18  I pick up a clip.
21:17:18–21:17:20  I extend the clip toward User A.
21:17:20–21:17:23  I say '我买的夹子，这夹啥？' to User A.
21:17:23–21:17:25  User A says '耳机线。'
21:17:26–21:17:31  I wait for the elevator.
21:17:32–21:17:35  I enter the elevator.
21:17:36–21:17:39  I reach towards the elevator button panel.
21:17:40–21:17:44  I stand inside the elevator.
21:17:45–21:17:50  I say '二技能线，这有用吗？一点用没有。'
21:17:51–21:17:55  I say '不如我的。不如我的。'
21:17:56–21:18:03  I say '地下。整个地面公园都从升降机开始往上抬高，让游客可以欣赏到整个公园的美景。'
21:18:04–21:18:10  I watch my companion check her smartphone.
21:18:11–21:18:15  I adjust my black bag.
21:18:16–21:18:19  I walk out of the elevator into the lobby.
21:18:20–21:18:25  I observe the receptionist present the visitor registration logbook.
21:18:26–21:18:31  I watch my companion register in the logbook.
