22:11:12–22:11:13  I hold a guitar.
22:11:13–22:11:16  I fret guitar strings.
22:11:16–22:11:20  I read song lyrics on laptop.
22:11:20–22:11:24  I adjust chord fingering.
22:11:24–22:11:27  I check the laptop screen.
22:11:27–22:11:33  I switch guitar chords.
22:11:34–22:11:38  I glance at browser tabs.
22:11:38–22:11:41  I look at the guitar neck.
22:11:42–22:11:44  I prepare to play guitar.
22:11:45–22:12:09  I practice guitar chords.
22:12:10–22:12:11  I reach for the laptop trackpad.
22:12:12–22:12:14  I position fingers on the guitar fretboard.
22:12:15–22:12:17  I check the guitar fretboard.
22:12:18–22:12:24  I read the KKBOX lyrics on the laptop.
22:12:25–22:12:35  I sing 'My mama don't lie, and and my mama, hmm, and I never.'
22:12:36–22:12:41  I practice chord transitions on the guitar.
22:12:42–22:12:46  I sing 'And I never liked to admit that, admit that I was wrong.'
22:12:46–22:12:52  I sing 'I've been so caught up in my job, didn't see what's going.'
22:12:52–22:13:02  I sing 'And now I know, and now I know.'
22:13:02–22:13:11  I sing 'I've been so, da da da da da, 'cause I feel, 'cause I feel.'
22:13:12–22:13:16  I hold fried chicken.
22:13:17–22:13:23  I view the KKBOX lyrics webpage.
22:13:24–22:13:27  I fret the guitar neck.
22:13:28–22:13:33  I adjust guitar fretting positions.
22:13:34–22:13:41  I practice guitar chords.
22:13:42–22:13:43  I view lyrics on KKBOX.
22:13:44–22:13:46  I fret a chord on the guitar.
22:13:47–22:13:50  I read lyrics on the laptop.
22:13:51–22:13:52  I check my chord fingering.
22:13:53–22:13:55  I look at the laptop setup.
22:13:56–22:13:56  I glance at the guitar neck.
22:13:57–22:13:57  I look toward the laptop.
22:13:58–22:13:58  I check the fretboard.
22:13:59–22:14:01  I look at the laptop screen.
22:14:02–22:14:05  I look at the screen bezel.
22:14:06–22:14:08  I monitor guitar fretting.
22:14:09–22:14:11  I look at the laptop screen.
22:14:12–22:14:13  I sing 'And I didn't wanna write a song, 'cause I didn't want anyone thinking I still care.'
22:14:14–22:14:15  I tap the laptop trackpad.
22:14:16–22:14:26  I sing 'I don't, but maybe you should know that. And baby, I'm moving on.'
22:14:27–22:14:27  I scroll the trackpad.
22:14:28–22:14:38  I sing 'And I think you should be something that I need to hold back. Maybe you should know that.'
22:14:39–22:14:39  I tap the trackpad.
22:14:40–22:14:41  I sing 'My mama.'
22:14:42–22:14:48  I sing "Don't like you, she likes everyone, and I never liked you."
22:14:48–22:14:55  I sing "I've been so cold, I've been so, I've been so cold. My jaw didn't see what's cooking. Now I know,"
22:14:55–22:15:02  I sing "I've been so, da da da da da da da da."
22:15:02–22:15:07  I sing "Cause if you."
22:15:07–22:15:11  I place my right hand on the trackpad.
22:15:12–22:15:13  I wait for the browser to load.
22:15:14–22:15:18  I watch the 'Love Yourself' guitar tutorial.
22:15:19–22:15:26  I hold my acoustic guitar.
22:15:27–22:15:33  I say '还是 Bieber 声音好听。'
22:15:34–22:15:41  I study the guitar chords.
22:15:42–22:15:44  I look at the YouTube guitar tutorial.
22:15:45–22:15:51  I monitor the guitar chord tutorial.
22:15:52–22:16:04  I touch the laptop trackpad.
22:16:05–22:16:07  I look at my guitar grip.
22:16:08–22:16:11  I watch the tutorial video.
22:16:12–22:16:17  I watch the Love Yourself guitar tutorial.
22:16:18–22:16:18  I check my fretboard hand position.
22:16:19–22:16:27  I follow the chord tutorial.
22:16:28–22:16:37  I control playback on the trackpad.
22:16:38–22:16:38  I glance at the desk.
22:16:39–22:16:41  I check the video progress bar.
22:16:42–22:16:48  I practice guitar chords.
22:16:48–22:16:51  Roommate asks '你知道蜜塔AI吗？'.
22:16:51–22:16:53  I say '啊，知道。干嘛？'.
22:16:53–22:16:58  Roommate says '蜜塔AI是一个小厂，他们很擅长做一些比较新奇的使用AI的方式。我一年之前用，他现在不太用了。我真还是很喜欢这家公司。'.
22:16:58–22:17:02  I say '你们效果如何？'.
22:17:02–22:17:11  Roommate says '还行。他家做搜索之前会做。'.
22:17:12–22:17:16  I watch my friend reaching beside the bed.
22:17:17–22:17:23  I listen to my friend discussing AI PPT tools.
22:17:24–22:17:25  I hold the guitar neck.
22:17:26–22:17:30  I watch my friend grab fried chicken.
22:17:31–22:17:35  My friend says '就就就这个就可以，就刚才那个，啊，算了还是这个吧。这是原味纯纸机。'
22:17:36–22:17:38  I ask '那这个呢？'
22:17:39–22:17:41  My friend says '这个是香辣的，就是。'
22:17:42–22:17:46  My friend says '是原味的，你可以尝一下这个不同的味道。'
22:17:46–22:17:48  My friend says '你喜欢这个味道吗？'
22:17:48–22:17:50  I say '还可以。'
22:17:50–22:17:53  My friend says '那肯德基这么好吃？'
22:17:53–22:17:58  My friend breaks apart chicken.
22:17:58–22:18:04  My friend says '你再尝一下这个，觉得这两个哪个好吃？'
22:18:04–22:18:08  I say '这个就比较传统一点。'
22:18:08–22:18:11  My friend says '嗯，先吃吧。'
22:18:12–22:18:14  I hand fried chicken.
22:18:15–22:18:23  I hold an acoustic guitar while watching a YouTube tutorial.
22:18:24–22:18:33  I monitor guitar chord fingerings.
22:18:34–22:18:36  I reach toward the laptop keyboard.
22:18:37–22:18:41  I watch the YouTube guitar tutorial.
22:18:42–22:18:45  I look at the guitar tutorial.
22:18:45–22:18:50  I adjust my fingers on the guitar fretboard.
22:18:51–22:18:56  Roommate says '夏老师说那个 lexical 太难。哦，我也觉得那个很难。我其实不太能分得清楚哪些不是单词。'.
22:18:56–22:19:02  Roommate says '我自己第一次做的时候，我其实也没有达到百分之七十吧。我正确率。'.
22:19:02–22:19:07  Roommate says '其实我当时就是在这个方面跟我导师就有争议，就是他觉得这个就是市面上。'.
22:19:07–22:19:11  I lift the iced drink cup.
22:19:12–22:19:16  User A says '上只要是关于双语的测试，他们都会基本上做这个 Lexile 的测验，就是来测你的英语水平。'
22:19:16–22:19:21  User A says '那你就去专门找那些英语好的做吧，我觉得没有问题。'
22:19:21–22:19:31  User A says '就是他的，就是他对你找的这个实验对象标准，就是你雅思至少得要十六点五以上，才有可能能达到百分之七十八的level。'
22:19:32–22:19:38  User A says 'OK。为什么他就是雅思是八哎，八点五，他们都觉得就难。'
22:19:39–22:19:41  I grip the guitar neck.
22:19:42–22:19:46  I practice guitar chords.
22:19:46–22:19:53  A friend says '孩儿，你做我那个实验了没有？你做我的那个实验了没有？快做一下！就那个实验，我。'
