16:57:44–16:57:46  Companion says "不饿".
16:57:46–16:57:48  I say "我也不饿。那走吧。".
16:57:48–16:57:55  I disconnect and wrap the power bank charging cable.
16:57:56–16:57:59  I put the power bank into my backpack.
16:58:00–16:58:06  I adjust my backpack.
16:58:07–16:58:08  Companion says "哦，那卡在这儿呢。".
16:58:09–16:58:11  I pick up my smartphone and water bottle.
16:58:12–16:58:14  I check my smartphone lock screen.
16:58:14–16:58:17  I say '我去上个厕所，喝点水。'
16:58:18–16:58:21  I pick up my water bottle.
16:58:22–16:58:27  I observe the ceiling lights.
16:58:28–16:58:30  I pick up my smartphone.
16:58:31–16:58:39  I walk across the study lounge.
16:58:40–16:58:43  I walk down the corridor.
16:58:44–16:58:50  I walk down the corridor.
16:58:51–16:58:55  I walk toward the blue wall.
16:58:56–16:58:57  I read the directional sign.
16:58:58–16:59:01  I approach the fire doors.
16:59:02–16:59:03  I push open the fire door.
16:59:04–16:59:05  I inspect posters on the lobby wall.
