16:55:51–16:55:53  Roommate says '啊，我中午就吃了这个。'.
16:55:54–16:55:56  I remove the blue clip.
16:55:57–16:56:02  I say 'OK，我煮个面，做个辣椒炒肉。晚上你吃不？我做了一起吃，辣椒炒肉。' to my roommate.
16:56:03–16:56:04  Roommate says '嗯，那是我现在不。'.
16:56:05–16:56:06  I say 'OK，我知道。'.
16:56:07–16:56:13  I walk to the kitchen.
16:56:14–16:56:16  I inspect the kitchen ingredients.
16:56:17–16:56:20  I open the noodle bag.
16:56:21–16:56:22  I say '好，好。'
16:56:23–16:56:26  I open the noodle package.
16:56:27–16:56:28  I place the noodles into the pot.
16:56:29–16:56:32  I take out the sauce sachet.
16:56:33–16:56:37  I read the cooking instructions on the noodle packaging.
16:56:38–16:56:40  I throw the noodle wrapper into the trash bag.
16:56:41–16:56:42  I inspect the package of pork.
16:56:43–16:56:45  I pick up the cutting board and turn on the faucet.
16:56:46–16:56:50  I rinse the cutting board.
16:56:51–16:56:56  I rinse the cutting board.
16:56:57–16:57:06  I try to peel open the pork packaging.
16:57:07–16:57:08  I pick up kitchen scissors.
16:57:09–16:57:11  I cut the pork packaging film with scissors.
16:57:12–16:57:14  I peel back the plastic film from the pork tray.
16:57:15–16:57:17  I remove the absorbent pad from the pork.
16:57:18–16:57:21  I place the pork onto the cutting board.
16:57:21–16:57:23  I discard the meat tray.
16:57:24–16:57:26  I turn on the kitchen faucet.
16:57:27–16:57:30  I pull out a kitchen knife.
16:57:31–16:57:35  I rinse raw meat under running tap water.
16:57:36–16:57:38  I place the rinsed meat on the cutting board.
16:57:39–16:57:50  I slice raw meat on the cutting board.
16:57:51–16:57:57  I slice a piece of pork.
16:57:57–16:58:08  I slice the pork horizontally.
16:58:08–16:58:11  I gather the cut pork slices.
16:58:11–16:58:16  I slice another strip of pork.
16:58:16–16:58:21  I slice the remaining pork.
16:58:21–16:58:25  I arrange raw meat.
16:58:25–16:58:46  I slice raw meat into strips.
16:58:46–16:58:48  I gather sliced meat strips.
16:58:48–16:58:51  I slice the remaining meat.
16:58:51–16:58:55  I slice raw meat on the cutting board.
16:58:55–16:58:58  I cut the meat strip.
16:58:58–16:59:01  I gather the cut meat strips.
16:59:01–16:59:07  I slice the meat strip into shreds.
16:59:07–16:59:11  I position a piece of raw meat.
16:59:11–16:59:16  I slice thin strips from the meat piece.
16:59:16–16:59:20  I cut the remaining meat piece.
16:59:21–16:59:27  I slice the chicken breast.
16:59:27–16:59:31  I gather the sliced chicken strips.
16:59:31–16:59:41  I slice the chicken breast.
16:59:41–16:59:46  I gather the sliced chicken strips.
16:59:46–16:59:51  I slice the chicken breast.
16:59:51–16:59:57  I slice raw meat on the cutting board.
16:59:57–17:00:06  I slice the remaining meat into thin strips.
17:00:06–17:00:10  I pick up the package of green peppers.
17:00:10–17:00:13  I turn on the faucet to rinse the knife.
17:00:13–17:00:17  I rinse the knife blade under running water.
17:00:17–17:00:19  I glance at the dishes while washing the knife.
17:00:19–17:00:21  I wash the knife blade under the tap.
17:00:21–17:00:30  I wash a cleaver.
17:00:30–17:00:36  I swap the cleaver for a chef's knife.
17:00:36–17:00:43  I pick up packaged green peppers.
17:00:43–17:00:48  I unpack green peppers.
17:00:48–17:00:50  I position the knife on a green pepper.
17:00:51–17:00:53  I cut the stem off a green pepper.
17:00:54–17:01:00  I rinse the green pepper under the faucet.
17:01:01–17:01:07  I rinse the pepper.
17:01:08–17:01:10  I move my smartphone to the windowsill.
17:01:11–17:01:16  I remove two green peppers from the plastic package.
17:01:17–17:01:17  I discard the plastic container into the trash bag.
17:01:18–17:01:21  I wash two green peppers in the sink.
17:01:21–17:01:23  I rinse green peppers in the sink.
17:01:24–17:01:25  I look at my phone on the windowsill.
17:01:26–17:01:32  I open and check the refrigerator.
17:01:33–17:01:35  I pick up my phone from the windowsill.
17:01:35–17:01:37  I say '这玩意儿该咋个腌法？'
17:01:37–17:01:40  I read the Xiaohongshu recipe for 辣椒炒肉.
17:01:40–17:01:44  I say '生抽、蚝油、料酒、淀粉、油。'
17:01:44–17:01:50  I pick up a small bowl and spoon.
17:01:51–17:02:01  I put sliced pork into a bowl.
17:02:02–17:02:04  I look at the boiling cooker.
17:02:05–17:02:07  I glance at the seasonings.
17:02:08–17:02:11  I look into the adjacent room.
17:02:11–17:02:12  I say '哦。'
17:02:12–17:02:13  I look down the hallway.
17:02:13–17:02:15  I turn toward the counter.
17:02:16–17:02:17  I prop my phone against the microwave.
17:02:18–17:02:21  I rinse the pork under the faucet.
17:02:21–17:02:26  I rinse the sliced meat.
17:02:27–17:02:34  I drain the water from the meat bowl.
17:02:35–17:02:37  I place the meat bowl on the cutting board.
17:02:38–17:02:41  I uncap the soy sauce bottle.
17:02:42–17:02:44  I pick up a large spoon.
17:02:45–17:02:47  I pour soy sauce into the large spoon.
17:02:48–17:02:50  I say '郑州，妈，勺子也太大了，我操！'
17:02:50–17:02:51  I move the spoon toward the stacked dishes.
17:02:51–17:02:53  I place chopsticks over a bowl.
17:02:54–17:03:00  I pour soy sauce onto sliced meat.
17:03:01–17:03:10  I reach for cooking wine among condiment bottles.
17:03:11–17:03:14  I open the cooking wine bottle.
17:03:15–17:03:19  I pour cooking wine onto sliced meat.
17:03:20–17:03:21  I look at the stove.
17:03:21–17:03:23  I inspect condiment bottles.
17:03:23–17:03:27  I say '蚝油、淀粉、油、麻油、老抽、小磨香油'.
17:03:27–17:03:29  I look at countertop groceries.
17:03:29–17:03:31  I say '啊，加点糖'.
17:03:31–17:03:33  I pick up a sugar pouch.
17:03:33–17:03:36  I turn toward prep counter holding sugar.
17:03:36–17:03:41  I sprinkle sugar into meat.
17:03:41–17:03:45  I cap and place sugar pouch.
17:03:45–17:03:47  I say '加点香油，麻油花'.
17:03:47–17:03:51  I uncap a sesame oil bottle.
17:03:51–17:03:53  I say '酱油。'
17:03:51–17:03:56  I pour Sichuan pepper oil into a spoon.
17:03:57–17:04:10  I mix sliced meat with a spoon.
17:04:11–17:04:14  I say '啊，好香啊！'
17:04:11–17:04:14  I place the oil bottle behind the stove.
17:04:15–17:04:17  I say '我操。'
17:04:15–17:04:18  I reach for a spice bottle.
