17:39:59–17:40:01  I observe the bedroom.
17:40:02–17:40:06  I inspect the air conditioner.
17:40:07–17:40:13  I say '没漏，没漏。' to my roommate.
17:40:14–17:40:18  I inspect the air conditioner.
17:40:19–17:40:22  I adjust my pants.
17:40:23–17:40:26  I look toward the rolling cart.
17:40:27–17:40:29  I look toward my laptop.
17:40:29–17:40:32  I look around the bedroom.
17:40:32–17:40:35  My roommate asks '你为啥要把窗户开着？'.
17:40:35–17:40:39  I say '我就通会儿风，一会儿再关上。主要一天没通风了，这家里没什么氧气。'.
17:40:39–17:40:43  My roommate asks '上午一直开着在通风啊？'.
17:40:43–17:40:45  I say '是吗？'.
17:40:45–17:40:49  I pick up the plastic bag while saying '好吧。空调不是下午才开吗？'.
17:40:49–17:40:53  My roommate says '哦，还真是。You are right。你帮我给它关。'.
17:40:53–17:40:56  I glance at the bedroom door.
17:40:56–17:40:58  I grab my smartphone.
17:40:58–17:40:59  I face the bay window.
17:40:59–17:41:02  I open the Wellcee app.
17:41:02–17:41:09  I view the Wellcee modal.
17:41:09–17:41:14  I say '哦，哎，你在那个深圳租房用的什么APP啊？用的什么中介？' to roommate.
17:41:14–17:41:18  Roommate says '我用的是只有在深圳有。'.
17:41:18–17:41:20  I say 'OK。' to roommate.
17:41:20–17:41:24  I view the Wellcee home screen.
17:41:24–17:41:26  I tap 'Log in and interact with more friends'.
17:41:26–17:41:29  I view the 'Phone Number Login' page.
17:41:29–17:41:31  I tap '允许'.
17:41:32–17:41:36  I view the 'Bind Phone Number' page.
17:41:37–17:41:41  I open the numeric dial pad.
17:41:42–17:41:48  I check the phone number entry and 'Next' button.
17:41:49–17:41:54  I say '嗯。'.
17:41:55–17:41:58  I inspect the 'Next' button.
17:41:59–17:42:03  I glance around the dormitory room.
17:42:04–17:42:05  I look at the login screen.
17:42:06–17:42:10  I search 'qq音乐' in Spotlight.
17:42:11–17:42:13  I look toward my roommate.
17:42:14–17:42:24  I navigate QQ Music playlists.
17:42:25–17:42:29  I browse the Wellcee app on my phone.
17:42:29–17:42:30  I say '帅。'
17:42:30–17:42:31  I scroll Wellcee listings.
17:42:32–17:42:36  I browse WeChat chats.
17:42:37–17:42:38  I view laptop Spotify.
17:42:39–17:42:41  I launch Amap.
17:42:42–17:42:44  I wait for Amap.
17:42:45–17:42:47  I select '张江 University B' search.
17:42:48–17:42:58  I examine University B center on map.
17:42:59–17:43:09  I zoom and pan on the Amap map.
17:43:09–17:43:14  I view the map center on Amap.
17:43:14–17:43:17  I swipe up the Amap details sheet.
17:43:17–17:43:23  I browse hotel recommendations on Amap.
17:43:23–17:43:28  I examine location details on Amap.
17:43:29–17:43:30  I say '是。'.
17:43:30–17:43:42  I check the location of University X Autonomous Intelligent Unmanned System Science Center Building 1.
17:43:42–17:43:45  I view the POI address.
17:43:45–17:43:48  I switch to the Wellcee app.
17:43:48–17:43:52  I tap the search bar.
17:43:52–17:43:55  I long-press the search input box.
17:43:55–17:43:58  I paste 'University X上海自主智能无人系统科学中心'.
17:43:59–17:44:03  I browse apartment listings in Wellcee.
17:44:03–17:44:07  I view the district filter options in Wellcee.
17:44:07–17:44:11  I navigate to the Me profile page in Wellcee.
17:44:11–17:44:16  I tap 'System & Version' in Settings.
17:44:16–17:44:18  I examine the System & Version information.
17:44:18–17:44:22  I tap 'Switch Language' in Settings.
17:44:22–17:44:26  I select '中文' to switch the app language.
17:44:26–17:44:29  I view the '您当前的定位在香港' location prompt.
17:44:29–17:44:31  I browse housing filters on phone.
17:44:32–17:44:35  I look at the laptop screen.
17:44:36–17:44:38  I put down the phone.
17:44:39–17:44:46  I type '同济大学上海自主智能无人系统科学中心' into Google.
17:44:47–17:44:55  I click the institute official website link.
17:44:56–17:44:58  I view the institute homepage.
17:44:59–17:45:04  I browse the SRIAS website.
17:45:05–17:45:10  I review Google search results for SRIAS.
17:45:11–17:45:13  I open the Autonomous Intelligent Unmanned Systems lab website.
17:45:14–17:45:19  I read lab news banners on lunar mapping and robotics.
17:45:20–17:45:24  I view the TJ-FlyingFish drone news.
17:45:25–17:45:26  I say '我有这事儿。'.
17:45:27–17:45:29  I scroll down the lab homepage.
17:45:29–17:45:33  I scroll through research directions on the laboratory website.
17:45:33–17:45:39  I examine scientific research platform images on the laboratory website.
17:45:39–17:45:43  I inspect contact details in the website footer.
17:45:43–17:45:46  I scroll to the laboratory homepage top banner.
17:45:46–17:45:49  I type a search query for the center's map location on Google.
17:45:49–17:45:54  I review search results for the Zhangjiang AI center location.
17:45:54–17:45:58  I open the Baidu Maps page for Tongji University Zhangjiang AI Center.
17:45:59–17:46:01  I view the loading Baidu Maps page.
17:46:02–17:46:04  I allow the browser location permission prompt.
17:46:05–17:46:08  I view the Shanghai map on Baidu Maps.
17:46:09–17:46:13  I view the Baidu rotation captcha prompt.
17:46:14–17:46:26  I rotate the captcha image using the slider.
17:46:27–17:46:29  I submit the rotation verification.
17:46:29–17:46:32  I complete the Baidu security verification captcha.
17:46:33–17:46:40  I examine the Baidu Maps search results for University X 张江人工智能中心.
17:46:41–17:46:46  I view the Baidu Maps overview of Shanghai.
17:46:47–17:46:50  I inspect the University X search results in the sidebar list.
17:46:51–17:46:58  I review the University X 上海自主智能无人系统科学中心1号楼 POI card.
17:46:59–17:47:06  I check Tongji University Science Center on Baidu Maps.
17:47:07–17:47:09  I inspect my left foot.
17:47:09–17:47:11  I say 'Next day, nothing on my phone.'
17:47:11–17:47:14  I examine the Baidu Maps view.
17:47:15–17:47:21  I explore the Shanghai Disney Resort area on Baidu Maps.
17:47:22–17:47:28  I zoom in on Tongji University Science Center on Baidu Maps.
17:47:29–17:47:31  I view Baidu Maps on my laptop.
17:47:32–17:47:45  I inspect my left big toe.
17:47:46–17:47:47  I glance toward the window and floor.
17:47:48–17:47:54  I push the window sash.
17:47:55–17:47:56  I look across the room at my roommate.
17:47:57–17:47:58  I hold the mouse in front of my laptop.
17:47:59–17:48:03  I browse Shanghai district options.
17:48:04–17:48:07  I glance across the room.
17:48:08–17:48:10  I view the Shanghai rental map.
17:48:11–17:48:19  I pan and zoom the rental map.
17:48:20–17:48:23  I tap the search bar.
17:48:24–17:48:28  I tap the search suggestion.
17:48:29–17:48:30  I say '哎。'.
17:48:30–17:48:32  I read the address suggestion list.
17:48:32–17:48:33  I tap '上海市-浦东新区-孙东路环东公寓北侧约160米 University X上海自主智能无人系统科学中心1号楼'.
17:48:33–17:48:36  I view 14 rental listings around the science center.
