17:54:10–17:54:14  I descend the stairs.
17:54:14–17:54:17  I check the tea counter.
17:54:18–17:54:21  I walk toward the patio door.
17:54:22–17:54:25  I slide open the glass door.
17:54:26–17:54:33  I look around the resort grounds.
17:54:34–17:54:36  I unlock my iPhone.
17:54:36–17:54:39  I type in the EgoLife-讨论组(3) WeChat chat.
17:54:40–17:54:50  I type '长动作预测用编辑距离' in WeChat.
17:54:50–17:54:56  I type '挺好的更' in WeChat.
17:54:56–17:55:03  I reposition the cursor in WeChat.
17:55:03–17:55:06  I type '指标' in WeChat.
17:55:06–17:55:08  A companion says '把我的，把我带走呗。'
17:55:08–17:55:10  I type '包容' in WeChat.
17:55:10–17:55:12  I check the WeChat chat.
17:55:12–17:55:14  I approach the cabin entrance.
17:55:15–17:55:17  I point at the keycard.
17:55:17–17:55:18  I say '明娜，房卡是得插电。' to User X.
17:55:18–17:55:19  User X says '哦，好。'.
17:55:19–17:55:23  I walk onto the asphalt pathway.
17:55:24–17:55:26  I observe the rice paddy field.
17:55:27–17:55:29  I watch User X exit the cabin.
17:55:30–17:55:32  I hold the cabin door.
17:55:33–17:55:35  I watch a pedestrian pass by.
17:55:36–17:55:38  I point at the electric tricycle.
17:55:38–17:55:40  I say '你看他们有那个小三轮，雅迪电动小三轮。' to User X.
17:55:40–17:55:44  I say '多少钱？不过咱们可以开车。'
17:55:44–17:55:49  I say '这水道哎，我操！'
17:55:50–17:55:54  I walk toward the cabins.
17:55:54–17:55:58  I inspect the observation cabinet and electric cart.
17:55:59–17:56:02  I say '哦，他们有那个单车。'
17:56:03–17:56:10  I follow my companion along the path.
17:56:10–17:56:13  I say '这个河不知道能不能漂流。'
17:56:14–17:56:17  I observe the riverside vegetation.
17:56:18–17:56:22  I say '但是我觉得开小车比较有意思。'
17:56:23–17:56:29  I walk along the path.
17:56:30–17:56:36  I observe the rice paddy and karst mountains.
17:56:37–17:56:39  I look at the manhole cover and flowerbed.
17:56:40–17:56:44  I observe the periwinkle flowers and giant elephant ear plant.
17:56:44–17:56:50  I follow my companion along the path.
17:56:50–17:56:54  My companion says '啊，小岔路，走进去。'.
17:56:54–17:57:03  I walk along the bamboo-lined road.
17:57:03–17:57:10  I approach the white car outside the 明仕山野餐厅 restaurant.
17:57:10–17:57:19  I walk toward the restaurant entrance.
17:57:20–17:57:23  I enter the restaurant dining hall.
17:57:24–17:57:28  I approach the dining table.
17:57:29–17:57:33  I sit down at the dining table.
17:57:34–17:57:36  I say "哦哦哦哦哦哦哦哦！谢谢。好。" to the waitress.
17:57:37–17:57:39  I unwrap the sanitized tableware set.
17:57:40–17:57:45  I unwrap the sanitized tableware set.
17:57:46–17:57:52  I arrange my tableware on the table.
17:57:53–17:57:56  I watch the waitress walk outside.
17:57:57–17:58:04  I lift the amber teapot.
17:58:05–17:58:09  I pour tea into the glass cup.
17:58:10–17:58:12  I say '农家乐，可吃不？'
17:58:12–17:58:14  My companion says '等一下。哦。'
17:58:14–17:58:19  I unwrap the chopsticks.
17:58:19–17:58:22  I watch my companion typing on her phone.
17:58:23–17:58:27  I watch the waitress deliver food.
17:58:28–17:58:30  I say '哇。谢谢。'
17:58:31–17:58:33  I view the dishes on the turntable.
17:58:33–17:58:39  I pierce the shrink-wrapped tableware set.
17:58:40–17:58:44  I puncture the tableware plastic wrap with chopsticks.
17:58:44–17:58:49  I arrange my tableware.
17:58:50–17:58:52  I look at the dishes on the turntable.
17:58:53–17:58:56  I observe the companion and wall menus.
17:58:57–17:59:03  I watch the companion ladle soup from the hot pot.
17:59:04–17:59:07  I rest my hand on the table while watching the companion.
17:59:08–17:59:10  The companion says '好。'.
17:59:10–17:59:13  I watch my companion place a bowl.
17:59:14–17:59:20  I monitor my companion scooping hot pot.
17:59:21–17:59:26  I transfer prawns into the bowl.
17:59:27–17:59:33  I monitor my companion pouring broth into my bowl.
17:59:34–17:59:39  I say '筷子吗？我。'.
17:59:40–17:59:42  Companion says "老板，喝汤" while serving soup into a bowl.
17:59:42–17:59:44  I say "小梦，谢谢小梦。谢谢小梦司机。"
17:59:44–17:59:48  Companion moves the soup bowl toward their seat.
17:59:48–17:59:52  I place my slotted spoon into the bowl.
17:59:52–17:59:57  Someone says "开拖" as we reach into the soup pot with ladles.
17:59:57–18:00:01  Someone says "哦，是要" as we ladle seafood into my bowl.
18:00:01–18:00:06  Companion scoops soup from the pot into my bowl.
18:00:06–18:00:10  Companion ladles soup from the hot pot.
18:00:10–18:00:14  I hold a slotted spoon while my companion serves soup.
18:00:14–18:00:17  I say '又开始呻吟了。啊，吟唱，吟唱，吟唱。'
18:00:17–18:00:21  I watch my companion pour soup.
18:00:21–18:00:24  I pick up chopsticks.
18:00:24–18:00:26  I pull the soup bowl closer.
18:00:26–18:00:30  I poke ingredients in the soup bowl.
18:00:30–18:00:33  I set down chopsticks.
18:00:33–18:00:36  I say '小鱼喂养。嗯，小鱼好像死掉了，好像死了很久了。'
18:00:36–18:00:39  I scoop soup with a ceramic spoon.
18:00:40–18:00:48  I stir the seafood soup.
18:00:49–18:00:54  I scoop soup ingredients with the spoon.
18:00:55–18:01:01  I say '很好喝，感觉外面餐厅也不一定。'.
18:01:02–18:01:09  I scoop a spoonful of soup broth.
18:01:10–18:01:12  I say '你怎么给我这么多虾？' to my companion.
18:01:12–18:01:13  My companion says '你的？'.
18:01:13–18:01:14  I say '嗯。'.
18:01:14–18:01:22  I place ginger and a clam piece into the saucer.
18:01:22–18:01:28  I eat a mushroom stem with broth.
18:01:28–18:01:36  I transfer a shrimp into the saucer.
18:01:36–18:01:40  I stir the soup.
18:01:40–18:01:44  I say "今天只吃了两顿。".
18:01:44–18:01:48  The dining companion says "才两天，符合你的调性。".
18:01:48–18:01:51  I scoop squid from the soup.
18:01:51–18:01:55  I examine the soup ingredients.
18:01:55–18:02:00  I eat squid tentacle and herbs with the spoon.
18:02:00–18:02:05  I look at the plate and saucer.
18:02:05–18:02:09  I scoop squid and broth with my spoon.
18:02:10–18:02:16  Companion says '哪里只有两顿？早上？就是早上一顿，现在一顿。'
18:02:17–18:02:19  I ask '你还吃啥了吗？'
18:02:20–18:02:24  Companion says '说那个菠萝不？说加昨天一起，那菠萝我就吃了两口，没吃完。'
18:02:25–18:02:26  I say '对啊，你今天只吃了两顿呢。'
18:02:27–18:02:35  Companion says '喝了咖啡。'
18:02:36–18:02:37  I say '哦，对。'
18:02:38–18:02:39  I look at the dishes on the lazy Susan.
18:02:40–18:02:43  I hold a bowl of white rice.
18:02:44–18:02:45  I set down the bowl of white rice.
18:02:46–18:02:52  I watch my companion take a piece of tofu.
18:02:53–18:02:58  My companion says '这豆腐好有小时候吃的那种味道，有没有点酸？这对吗？'.
18:02:59–18:03:03  I watch my companion examine the tofu.
18:03:04–18:03:08  I watch my companion take food from the lotus dish.
18:03:09–18:03:10  I look down at the table.
18:03:10–18:03:12  I say '排骨好吃。'
18:03:12–18:03:14  I look toward the patio doors.
18:03:14–18:03:18  I read the wall menu boards.
18:03:18–18:03:24  I place a bone scrap on my plate.
18:03:24–18:03:28  My companion says '啊？他们是清零的，真的是双Q。'
18:03:28–18:03:32  I pick up rice with chopsticks.
18:03:32–18:03:37  I watch my companion take food from the cucumber salad.
18:03:37–18:03:40  I pick up a piece of century egg with chopsticks.
18:03:40–18:03:44  I pick up cucumber from the plate.
18:03:45–18:03:48  I lift the cucumber.
18:03:49–18:03:54  I eat the cucumber.
18:03:55–18:04:00  I say '嗯，甜的，甜的，这个好吃，排骨也好吃。'
18:04:01–18:04:09  I pick up cucumber and century egg from the plate.
18:04:10–18:04:13  My companion asks '一会儿去哪儿逛？'.
18:04:14–18:04:18  I adjust my chopsticks over the rice bowl.
18:04:19–18:04:24  I watch my companion take food from the plate.
18:04:25–18:04:28  I say '哦，我我找一下。'.
18:04:29–18:04:30  My companion says '好啊。'.
18:04:31–18:04:33  I view the WeChat group chat.
18:04:34–18:04:35  I navigate to the WeChat chat list.
18:04:36–18:04:37  I swipe through the home screen app pages.
18:04:38–18:04:39  I look at map apps as my companion points at the screen.
18:04:40–18:04:44  I eat rice with chopsticks.
18:04:45–18:04:59  I watch my companion take food from the turntable dish.
18:05:00–18:05:01  I tap my smartphone.
18:05:02–18:05:09  I browse the map of Mingshi Scenic Area on Amap.
18:05:10–18:05:14  I say '这个江感觉可以上面划一个船，还挺长的。'
18:05:15–18:05:16  Companion says '有划船的。'
18:05:17–18:05:18  I ask '这个江上吗？'
18:05:19–18:05:22  Companion says '嗯。有这个竹筏。'
18:05:23–18:05:30  I say '啊，我刚刚好像看到过。'
18:05:31–18:05:39  I zoom out the map.
18:05:40–18:05:42  I check the Mingshi area on Gaode Map.
18:05:42–18:05:44  I say '我不想坐坐竹筏，其实，感觉很景区，有点想漂流，或者是。'
18:05:44–18:05:48  I dip chopsticks into the soup bowl.
18:05:48–18:05:52  The companion says '这几天那个景区没开，漂流那景区，因为太刺激了。洪水期。'
18:05:52–18:05:54  I say '那不就应该这个期坐吗？'
18:05:54–18:05:57  I pick from the cucumber dish with chopsticks.
18:05:57–18:06:00  The companion says '有些道路水淹过不去。'
18:06:00–18:06:02  I say '哦。'
18:06:02–18:06:06  I lift a cucumber slice with chopsticks.
18:06:06–18:06:10  I pick more cucumber salad with chopsticks.
18:06:10–18:06:12  I watch companion pick century egg.
18:06:12–18:06:16  I pick white rice.
18:06:16–18:06:21  Companion says '好像就这两天关，今天关，我不知道明天。'
18:06:22–18:06:25  I say '今天关的应该不会，明天就开。'
18:06:26–18:06:33  I adjust meat on rice.
18:06:34–18:06:37  I glance across dining table.
18:06:38–18:06:40  I grip steamed meat.
18:06:40–18:06:42  I hold steamed pork rib in my rice bowl.
18:06:43–18:06:45  I say '排骨好好吃，看咱俩有点多了。'
18:06:46–18:06:47  I check my smartphone map and plate.
18:06:48–18:06:50  I touch the glass turntable.
18:06:51–18:06:53  I examine the lotus petal pork rib dish.
18:06:54–18:07:06  I watch my companion pick cucumber salad.
18:07:07–18:07:09  I hold my chopsticks while watching my companion.
18:07:10–18:07:18  I watch my companion take food from the stir-fried dish.
18:07:19–18:07:21  I pick up rice from my bowl.
18:07:22–18:07:24  I check the navigation map on my phone.
18:07:24–18:07:25  I ask '大概多少时间？'.
18:07:25–18:07:30  I watch my companion take tofu from the plate.
18:07:31–18:07:33  I rotate the glass turntable.
18:07:33–18:07:34  I say '轻松的劳动。'.
18:07:35–18:07:37  I watch my companion scoop soup from the pot.
18:07:38–18:07:39  I watch my companion pour soup into my bowl.
18:07:40–18:07:45  I watch my companion serve food.
18:07:46–18:07:51  I watch broth being ladled into my bowl.
18:07:52–18:07:53  I say '嗯。'.
18:07:54–18:08:00  I scoop soup with a ceramic spoon.
18:08:01–18:08:07  I taste the broth from the spoon.
18:08:08–18:08:09  I stir the soup with the spoon.
18:08:10–18:08:18  I scoop soup with a spoon.
18:08:19–18:08:27  I scoop another spoonful of soup.
18:08:28–18:08:29  I glance at the shrimp dish.
18:08:30–18:08:33  I pick at rice with chopsticks.
18:08:34–18:08:37  I look across the dining table.
18:08:38–18:08:40  I watch companion scoop from hotpot.
18:08:40–18:08:43  I say '嗯，他也饿，倒也不能吃我的啊！哈哈哈哈哈！'
18:08:43–18:08:46  I rotate the glass turntable.
18:08:47–18:08:50  I examine the dishes on the turntable.
18:08:51–18:08:53  I look at my rice bowl.
18:08:53–18:08:57  I watch my companion take food from the cucumber dish.
18:08:58–18:09:00  I pick up food from my soup bowl.
18:09:01–18:09:06  I look at my rice bowl.
18:09:07–18:09:09  I watch my companion take food from the lotus petal dish.
18:09:10–18:09:17  I watch my companion pick food from the cucumber dish.
18:09:17–18:09:18  I say '嗯。'
18:09:19–18:09:29  I watch my companion pick cucumber with chopsticks.
18:09:30–18:09:32  I lift cooked vegetable.
18:09:33–18:09:38  I pick up rice with chopsticks.
18:09:39–18:09:40  I look at the clam soup.
18:09:40–18:09:44  I pick food from the lotus dish.
18:09:44–18:09:48  I look at the tableware and counter.
18:09:48–18:09:54  I scoop rice from my bowl.
18:09:54–18:09:59  I eat rice from my bowl.
18:09:59–18:10:03  I pick meat from the lotus dish.
18:10:03–18:10:09  I look at the clam soup.
18:10:10–18:10:15  I look at the soup and leftover plate.
18:10:15–18:10:19  I look at my rice bowl.
18:10:19–18:10:25  I watch my companion pick up fried meat from the lotus plate.
18:10:25–18:10:31  I look at my soup bowl.
18:10:31–18:10:34  I look at leftover bones on my plate.
18:10:34–18:10:39  I scoop up rice with chopsticks.
18:10:40–18:10:43  The companion says '慢点吃，不要着急，吃饱。'
18:10:44–18:10:46  I hold chopsticks over my plate.
18:10:47–18:10:55  I scoop broth with a spoon.
18:10:56–18:11:05  I hold a spoon of soup.
18:11:06–18:11:09  The companion says '哈哈，这豆腐都被我。'
18:11:10–18:11:13  I taste soup with a spoon.
18:11:13–18:11:16  I say '感觉有点酸。'
18:11:16–18:11:19  Companion says '好吧。'
18:11:19–18:11:24  I look at the dishes.
18:11:24–18:11:27  I look at the ceiling lights.
18:11:27–18:11:31  I look out the glass window.
18:11:32–18:11:35  I say '啊！我的耳机好辣，我刚刚吃了个辣椒。'
18:11:35–18:11:39  I look at the staff member and companion.
18:11:40–18:11:47  I examine a parked car's license plate.
18:11:48–18:11:55  I look toward the glass entrance.
18:11:56–18:12:01  I say '桂，桂林好地方。'.
18:12:02–18:12:04  I pick up my chopsticks.
18:12:05–18:12:07  I pick up a piece of meat from the lotus petal dish.
18:12:08–18:12:09  I lift the meat with chopsticks.
18:12:10–18:12:16  I look at the lotus petal dish.
18:12:17–18:12:21  Companion asks '桂林在咱们的哪里啊？是不是挺远？'.
18:12:21–18:12:23  I say '东北。'.
18:12:23–18:12:26  I watch companion pick food from the lotus dish.
18:12:26–18:12:28  I dip chopsticks into the side saucer.
18:12:28–18:12:33  I watch companion pick food from the lotus dish.
18:12:33–18:12:39  I look at the lotus dish.
18:12:40–18:12:45  I pick food from the lotus-petal dish.
18:12:46–18:12:52  I watch my dining companion eat.
18:12:52–18:12:56  I say '啥时候才能去中那个一万八千八一万？多少有点离谱了。'
18:12:56–18:13:03  I look out the window toward the courtyard.
18:13:04–18:13:09  I pick food from the lotus-petal dish.
18:13:10–18:13:13  I hold a piece of braised meat with chopsticks.
18:13:13–18:13:16  I look at the braised tofu.
18:13:16–18:13:19  I look out the window.
18:13:19–18:13:22  I say '这一回合是他们黄忠全部定完了。'
18:13:22–18:13:24  I glance at the chairs.
18:13:24–18:13:27  I examine the pot and tissue box.
18:13:27–18:13:31  I watch my dining companion pick food from the center dish.
18:13:31–18:13:35  I glance at the braised tofu plate.
18:13:35–18:13:37  I prod meat on my plate.
18:13:37–18:13:40  I pick food from the center lotus dish.
18:13:40–18:13:44  I watch companion pick up meat.
18:13:45–18:13:47  Companion says '几千起价，九千起价。九千八。这差的不是。'.
18:13:48–18:13:56  I pick at meat on my plate.
18:13:57–18:13:59  I eat rice from my bowl.
18:14:00–18:14:02  I look at the clam soup bowl.
18:14:03–18:14:09  I watch companion take stir-fry.
18:14:10–18:14:21  I observe the food on the lazy susan.
18:14:21–18:14:24  I say '我玩上单。' to my companion.
18:14:24–18:14:26  My companion replies '嗯。'
18:14:26–18:14:32  I pick up a piece of century egg.
18:14:32–18:14:40  I pick up a slice of cucumber.
18:14:40–18:14:46  I watch my companion pick seasoned cucumber.
18:14:47–18:14:55  I watch my companion pick another piece of cucumber.
18:14:56–18:14:57  I look at the lifted cucumber slice.
18:14:58–18:15:05  I watch my companion pick food from the plate.
18:15:06–18:15:07  I dip a green vegetable into the soup.
18:15:08–18:15:09  I look at the blue cucumber plate.
18:15:10–18:15:16  I watch my companion pick food.
18:15:17–18:15:23  I eat rice with chopsticks.
18:15:24–18:15:28  I look at the lotus petal dish.
18:15:29–18:15:30  My dining companion says '吃吧。'
18:15:31–18:15:37  I watch my companion take food.
18:15:38–18:15:39  I rest my hand on the turntable.
18:15:40–18:15:44  I reach toward the lazy Susan.
18:15:44–18:15:47  I say '别都给我记下，不太饱。'
18:15:47–18:15:52  I hold the ladle in the hot pot.
18:15:52–18:15:55  I say '啊，够了，够了。'
18:15:55–18:15:59  I say '汤。'
18:15:59–18:16:04  I watch my companion scoop broth.
18:16:04–18:16:09  I say '可以，可以，我不要啦。'
18:16:10–18:16:17  I watch my companion ladle seafood.
18:16:17–18:16:25  I watch my companion pour broth.
18:16:26–18:16:33  I say '嗯，吃干抹净了，也算是。'
18:16:34–18:16:36  I pick up chopsticks.
18:16:36–18:16:39  I pick up a piece of squid.
18:16:40–18:16:50  I sift through the seafood soup.
18:16:50–18:17:00  I pick up a clam shell from the soup.
18:17:00–18:17:04  I place the clam shell into the saucer.
18:17:04–18:17:07  I place the chopsticks onto the plate.
18:17:07–18:17:10  I pick up the ceramic spoon from the rice bowl.
18:17:10–18:17:14  I scoop meat from my soup bowl.
18:17:15–18:17:19  I sip soup from the spoon.
