18:11:34–18:11:38  I say '我没有追求美感，我只觉得他们。'
18:11:39–18:11:42  I walk past the massage chairs.
18:11:43–18:11:46  I look at a decorative display.
18:11:47–18:11:51  I follow a pedestrian past store L117.
18:11:52–18:11:56  I approach the downward escalator.
18:11:57–18:12:01  I look at the escalator landing.
18:12:02–18:12:04  I step onto the escalator.
18:12:04–18:12:06  I ride the escalator.
18:12:06–18:12:08  I adjust my smart glasses.
18:12:08–18:12:10  I say '啊，I think there are like some somewhere that could, yeah.'
18:12:10–18:12:14  I view the TEA BEAUTY apparel booth.
18:12:14–18:12:16  I read the mall membership banner.
18:12:16–18:12:20  I look at the clothing racks.
18:12:20–18:12:24  I look at the food kiosk.
18:12:24–18:12:27  I view the B1 directory stands and shops.
18:12:27–18:12:30  I watch the escalator landing.
18:12:30–18:12:34  I step off the escalator.
18:12:34–18:12:36  I exclaim "啊，好冷啊！我操。".
18:12:36–18:12:38  I walk past a clothing boutique.
18:12:38–18:12:41  I walk past a promotional pillar.
18:12:41–18:12:46  I walk past a Teddy Family booth.
18:12:46–18:12:51  I walk toward Sunshine Station.
18:12:51–18:12:57  I walk past a dining directory wall.
18:12:57–18:13:03  I walk toward a 1點點 tea shop.
18:13:04–18:13:08  I walk through the food court corridor.
18:13:08–18:13:12  I walk along the corridor.
18:13:13–18:13:16  I look toward the metro exit passage.
18:13:17–18:13:21  I walk past the Yee3 storefront.
18:13:22–18:13:25  I say '哦哦哦！啊啊啊！好冷。'.
18:13:26–18:13:29  I walk toward the Cotti Coffee storefront.
18:13:30–18:13:33  I look toward the advertising boards.
18:13:34–18:13:37  I say '哎！啊哈哈哈哈哈哈哈哈！好冷啊，我操！'.
18:13:37–18:13:41  I examine the Tokyo Yaro Ramen storefront.
18:13:42–18:13:45  I read the overhead wayfinding sign.
18:13:45–18:13:49  I say '操，还没有卖甜品的啊？见鬼！'.
18:13:49–18:13:54  I look at the Ru Yue Lou pastry display.
18:13:55–18:13:59  I glance at the MINISO storefront.
