12:13:04–12:13:07  I say "对，他是今年毕业。"
12:13:07–12:13:10  I say "你好，帮开下门。"
12:13:10–12:13:12  The guard says "他已经毕业了。"
12:13:12–12:13:14  I say "你好，帮开下门。"
12:13:14–12:13:17  I say "谢谢。"
12:13:17–12:13:22  I walk toward the exit.
12:13:23–12:13:27  I exit through the sliding glass doors.
12:13:27–12:13:32  I walk along the outdoor walkway.
12:13:32–12:13:33  I look at the landscaped bushes.
12:13:34–12:13:38  I walk beside a landscaped bed.
12:13:38–12:13:43  I walk along the asphalt road.
12:13:44–12:13:47  I pass an approaching pedestrian.
12:13:47–12:13:52  I walk toward the stone bollards.
12:13:52–12:13:57  I turn onto the pedestrian walkway.
12:13:57–12:14:03  I walk down the campus walkway.
12:14:04–12:14:16  I walk along an outdoor walkway.
12:14:16–12:14:18  A passerby says '嗯，不是，让我变成不人。嗯'.
12:14:18–12:14:24  I continue walking along the pathway.
12:14:24–12:14:28  I walk across a pathway intersection.
12:14:28–12:14:33  I walk towards the open campus plaza.
12:14:34–12:14:37  I walk along the pathway.
12:14:37–12:14:44  I look at the campus buildings.
12:14:44–12:14:48  I say "嗯，风也不大。"
12:14:48–12:14:52  I say "啊。"
12:14:52–12:14:59  I observe the building and trees.
12:14:59–12:15:04  I look down at the pathway curve.
12:15:04–12:15:17  I walk along the outdoor pathway.
12:15:17–12:15:24  I glance at the lawn.
12:15:24–12:15:30  I look at the walkway.
12:15:30–12:15:34  I glance at the lamppost base.
12:15:34–12:15:37  I walk along the sidewalk.
12:15:37–12:15:40  I say '哦，我忘了是这个门儿还是那边那个门儿了，我不记得这个门儿开在哪边。'
12:15:41–12:15:45  I walk toward the exit gate.
12:15:46–12:15:49  A companion says '可以，没翻过，但是感觉一跨即走。'
12:15:49–12:15:53  I say '哦，蒙对了，在这边。'
12:15:54–12:15:58  A companion says '春节就可以上图书馆。'
12:15:58–12:16:01  I say '对他这个不管。'
12:16:01–12:16:04  I approach the roadway intersection.
12:16:04–12:16:09  I walk toward the building entrance.
12:16:09–12:16:16  I watch two staff members arrange potted plants.
12:16:16–12:16:20  I walk past the staff members toward the entrance.
12:16:20–12:16:24  I say '对，它没有那个，没有门闸。'
12:16:24–12:16:27  I enter the building lobby through the sliding doors.
12:16:27–12:16:30  I say '哦，操！好冷啊。'
12:16:30–12:16:34  I walk across the lobby.
12:16:34–12:16:38  I say "或者你到，应该。嗯，走路去也行。"
12:16:38–12:16:41  I press the elevator call button.
12:16:42–12:16:45  I enter the elevator.
12:16:46–12:16:48  I press the 2 floor button.
12:16:49–12:17:01  I stand in the elevator.
12:17:01–12:17:04  The elevator announces "二层到了。"
12:17:04–12:17:07  I step out of the elevator.
12:17:07–12:17:09  I say '我操，好冷啊！'.
12:17:09–12:17:16  I walk down the corridor.
12:17:16–12:17:19  I push open the glass door.
12:17:19–12:17:22  I walk towards the central column.
12:17:22–12:17:25  I say '我都可以，我调个风。'.
12:17:25–12:17:28  I approach the Daikin control panels.
12:17:28–12:17:34  I adjust the Daikin air conditioner settings.
12:17:34–12:17:40  I press the Daikin air conditioner control panel.
12:17:40–12:17:43  I say '你睡哪个？我操！' to User A.
12:17:43–12:17:50  I walk into the lounge area.
12:17:50–12:17:54  I say '我看这个单好像可以。'
12:17:54–12:17:59  I touch the acoustic privacy pod shell.
12:17:59–12:18:04  I say '我操！有桌子，可以。'
12:18:04–12:18:07  I walk toward a pod chair.
12:18:08–12:18:11  I look at the pod chair seat.
12:18:12–12:18:15  I sit in the pod chair.
12:18:16–12:18:22  I look out the window.
12:18:23–12:18:30  I examine the roller blind.
12:18:31–12:18:33  I pull down the roller shade.
12:18:32–12:18:33  I say '可以了。'
12:18:34–12:18:37  I lower the roller blind.
12:18:37–12:18:40  I observe the blind.
12:18:40–12:18:45  I pull the roller blind down fully.
12:18:45–12:18:48  I inspect the closed blind.
12:18:48–12:18:50  I say '嗯。'
