14:05:45–14:05:49  I ride the elevator.
14:05:49–14:05:54  I open WeChat on my phone.
14:05:54–14:06:05  I type a WeChat message.
14:06:05–14:06:08  I look up as the elevator doors open.
14:06:08–14:06:12  I walk out of the elevator.
14:06:12–14:06:15  I return to the home screen while walking.
14:06:15–14:06:17  I walk toward the laboratory door.
14:06:18–14:06:20  I enter the office while viewing WeChat.
14:06:21–14:06:26  I walk down the office aisle.
14:06:27–14:06:30  I check my sent WeChat message.
14:06:31–14:06:33  I pick up a glass water bottle.
14:06:34–14:06:36  I turn around holding the water bottle.
14:06:37–14:06:40  I watch a colleague assembling a drone.
14:06:41–14:06:44  I walk toward the office exit door.
14:06:45–14:06:46  I walk along the corridor.
14:06:46–14:06:47  I say '嗯'.
14:06:47–14:06:51  I carry a water bottle toward the pantry.
14:06:51–14:06:56  I walk along the island counter.
14:06:56–14:07:01  I stop beside a bar stool.
14:07:01–14:07:06  I raise my right hand.
14:07:06–14:07:11  I examine the bar stool seat.
14:07:11–14:07:15  I inspect my fingers.
14:07:15–14:07:22  I say '我可能两点半不一定能够准时到，能够晚点。先先到吧。'
14:07:23–14:07:27  I inspect a glass water bottle.
14:07:28–14:07:29  I look at the kitchenette.
14:07:30–14:07:32  I place the water bottle on the dispenser tray.
14:07:33–14:07:35  I watch colleagues walking in the hallway.
14:07:36–14:07:44  I monitor the water filling.
14:07:45–14:07:49  I take a water bottle.
14:07:49–14:07:54  I hold a water bottle.
14:07:54–14:07:58  I cap a water bottle.
14:07:58–14:08:04  I walk through a pantry.
14:08:04–14:08:15  I walk down a corridor.
14:08:15–14:08:17  I walk down the corridor.
14:08:17–14:08:19  I say '嗯。'
14:08:19–14:08:22  I walk toward the staircase.
