18:41:10–18:41:13  I say "我终于把那个狗屎数据洗完了".
18:41:13–18:41:17  I say "完全完完全不是，完全不是很好用。".
18:41:17–18:41:22  I say "对，DeepSeek版本的跟屎一样，就那样吧。".
18:41:22–18:41:26  I press the elevator button.
18:41:26–18:41:30  I say "反正那个我。".
18:41:30–18:41:40  I observe my colleague scratching his head.
18:41:40–18:41:45  I say '我也不打算主要作为评测了，主要作为和梁老师交差的文件。' to User X.
18:41:45–18:41:49  I say '你要不要搞一个？用你用API吗？便宜的API。' to User X.
18:41:49–18:41:52  User X says '我我就说啊，你说GPT五点四吗？'.
18:41:52–18:41:53  I reply '啊。' to User X.
18:41:53–18:41:58  User X says 'GPT系列模型不太行，我试过用五点四的便宜API。'.
18:41:58–18:42:01  User X adds '啊，它是就是它隔。'.
18:42:01–18:42:04  I wait in the elevator.
18:42:04–18:42:07  I watch the elevator doors open.
18:42:07–18:42:10  I walk out of the elevator.
18:42:10–18:42:13  I say '模式遵循会更好，但是它的压缩率不太好。'
18:42:13–18:42:16  I say 'GPT 系列模型，我用下来感觉它是一个非常 lazy 的模型。'
18:42:16–18:42:20  I say '对，就是它是一个非常，它能少输字儿就少输字儿，就是。'
18:42:20–18:42:25  I say 'Don't be lazy。你这这哪有用？我操！'
18:42:25–18:42:30  I say '它就是一个我感觉文字惩罚过于强的模型。'
18:42:30–18:42:35  I walk toward pillar A.
18:42:35–18:42:40  I pass a black SUV.
18:42:40–18:42:44  I say '反正 GPT 系列模型不行，Claude 的是 OK 的'.
18:42:44–18:42:51  I say 'Claude 的没有特别便宜的，Claude 的就是它比较勤快，然后理解能力、文字理解能力也比较好。'.
18:42:51–18:42:57  I say '千问、千问、千问 35B 我也在试，千问 35B 也还凑合，还可以，我感觉没有 GPT 那么 lazy，它不会。'.
18:42:57–18:43:04  I say '35B...'.
18:43:04–18:43:10  I say '嗯。'.
18:43:10–18:43:18  I say '嗯，他只跑了三十分钟，我还没看，我还没看特别明显的效果，我再多跑一下。'
18:43:18–18:43:23  I say '嗯哼，嗯哼，没事儿，先用先用DeepSeek那版吧。'
18:43:23–18:43:30  I say '没事儿，有User X那个数据，User X那个数据，我我感觉还是OK的。'
18:43:30–18:43:34  I walk through the glass doors.
18:43:34–18:43:40  I walk along the curved glass corridor.
18:43:40–18:43:46  My companion asks '后面的话怎么不不放在表格里面？按人汇报还是按照总体？'.
18:43:46–18:43:52  My companion says '就是比方说五个人、六个人，然后每个人人都按雷尔去做。'.
18:43:52–18:43:56  I say '嗯，我先我先主要做露西亚这个的实验吧，'.
18:43:56–18:44:01  I say '然后其他人我加在一起做一个消融，但是不作为模型评测的东西。'.
18:44:01–18:44:05  I walk towards the gym entrance.
