12:44:04–12:44:06  My colleague says '玩的MM啥了吗？'.
12:44:06–12:44:09  I look at the desk fan.
12:44:09–12:44:12  My colleague says '在MPR 2016，买成米丢了。'.
12:44:12–12:44:16  I read the MAGIC-Video configuration script.
12:44:16–12:44:18  I look at my colleague.
12:44:18–12:44:22  I say '我操，他是相当于是比较，讲一个单词。' to my colleague.
12:44:22–12:44:25  I look toward my laptop.
12:44:25–12:44:27  I read the judge worker settings.
12:44:27–12:44:30  I look at the adjacent desk row.
12:44:30–12:44:34  I read the Python script on my laptop.
12:44:34–12:44:36  I read the Python evaluation configuration code.
12:44:36–12:44:39  I look at my colleague.
12:44:39–12:44:48  I say '那边，那边这video应该没问题。我感觉内容，我感觉他挺详细的，然后辅助也挺详细的。虽然感觉他很特种工程，把所有的时间链、时间链都注意了。' to my colleague.
12:44:48–12:45:04  I say '感觉以后语言模型，你通过大规模强化学习，它可以自己学这个玩意儿怎么会减速。不过当前来说，还是很还是很nice的特种工程。' to my colleague.
12:45:04–12:45:12  I say '不是，就是他自己建了几个时间链的那个特殊知识图谱，就是他把每个物体和每个时间聚集在一起那个。' to my colleague.
12:45:12–12:45:16  I say '对，是有用的。我感觉对我这个人物也是有用的。' to my colleague.
12:45:16–12:45:20  I say '我的M M M，他就是没有这个时间链，他的队里多条腿肯定没得嘛。对。' to my colleague.
12:45:21–12:45:26  I say '还有这个。' while looking at VS Code.
12:45:27–12:45:30  I look at my colleague.
12:45:31–12:45:33  I read the Feishu document on judge model score divergence.
12:45:34–12:45:40  I scroll the Feishu document.
12:45:41–12:45:47  I review the task checklist.
12:45:48–12:45:50  I say '什么？'.
12:45:51–12:45:54  The colleague says '把队长看看怎么样？队长看看，看看能不能弄好。'.
12:45:55–12:45:57  I say '三十五批的剩下五个人是吧？'.
12:45:58–12:46:00  I say '行。'.
12:46:01–12:46:03  I say '能弄好的话，感觉就多报人，一起吧。报一个人要多。'.
12:46:04–12:46:07  Colleague asks '多久啊？评估一次，看你要跑多多少？你要每一条都跑吗？'.
12:46:07–12:46:09  Colleague asks '你不是五个力度吗？'.
12:46:09–12:46:11  I say '对啊，我五个力度。'.
12:46:11–12:46:14  Colleague asks '我说你是每一条都跑吗？五个力度你是每条都跑？'.
12:46:14–12:46:24  I say '不是，不是，我是说我只选了五十条，就是每天只随便选了五十个节点。你要说每一条都跑的话，应该跑挺久的。'.
12:46:24–12:46:29  Colleague asks '对，现在你之前我之前汇报的结果是随机选的吗？之前是吗？'.
12:46:29–12:46:34  Colleague says '你之前汇报的结果是随机选的。'.
12:46:34–12:46:38  My colleague says '对啊，都是随机选的呀，而且都是只有一百个点的。'.
12:46:38–12:46:41  I say '随机选的话，我怎么复现啊？'.
12:46:41–12:46:47  My colleague says '啊，我我那个随机是固定的，就是它不随机选了以后，所有模型都在这个点上跑。'.
12:46:47–12:46:53  My colleague says '啊，我不知道那个随机选在哪，我得看一下。我让袁模型给你整理一下。'.
12:46:53–12:46:58  I say '随机选的话，你就我这所有的模型都随机的选就行了。'.
12:46:58–12:47:04  My colleague says '不是，我感觉得在，就是就是随机选了以后，所有模型都。'.
12:47:04–12:47:08  I say '对对对对对对对对对对对，就是这样。我现在就是这样。' to colleague.
12:47:09–12:47:12  I say '我操，那我今天没打算做那个前面三十五B，那我今天再做一下前面三十五B。'
12:47:13–12:47:18  I read the Feishu notes on VLM attention mechanisms and Captum.
12:47:19–12:47:23  I say '第三个我估计会不好做，也不是，就是跑一下，然后第八个应该要很久，因为要人工审核数据，审核很多轮，看他的。'
12:47:24–12:47:33  I look at the water bottle on the desk.
12:47:34–12:47:40  I say '两次没有，一天肯定做不完，慢慢做吧。' to my colleague.
12:47:41–12:47:47  I say '我现在本来想跑这个的，反转型的反转型。反转型的话，现在发文量不是发文量不是够，不是够。'
12:47:48–12:47:52  I look at my colleague.
12:47:53–12:48:00  I say '因为因为现在都喜欢搞，想做后训练的话，你肯定是 SFT，还得强化学习，两个一起做。'
12:48:01–12:48:03  I look at the Feishu document on my laptop.
12:48:04–12:48:06  I read my Feishu research to-do list.
12:48:06–12:48:08  I face my colleague.
12:48:08–12:48:19  The colleague says "不是很流行 DPO 吗？强化学习，好些人都在搞 DPO，你看看要不要搞 DPO？搞 DPO 可能会比较好，SFT 不够，SFT 是要做的，DPO 之前肯定肯定要做 SFT，SFT 好，后面做 DPO……"
12:48:19–12:48:24  I glance at my colleague's hand.
12:48:24–12:48:30  The colleague says "你的权重那，SFT 的权重去做做做强化的，DPO 你也不用搞太复杂。"
12:48:30–12:48:34  I read the Feishu document.
12:48:34–12:48:37  I say '你怎么 O P D？'.
12:48:37–12:48:41  I say '室友，我知道。我说具体怎么拿数据 O P D？'.
12:48:41–12:48:48  I say '教师，你说的教师是要看到这个人的实际动作以后，然后输入他的思考内容、推理内容吗？'.
12:48:48–12:48:53  I say '然后来推理他这样要做什么吗？'.
12:48:54–12:49:03  I say '还有什么？'.
12:49:04–12:49:08  I ask "模型的话，你地图上面做评估，是不是模型越大，评估的越准确？"
12:49:08–12:49:15  My colleague says "我没测过，但是边缘模型是有这个趋势。"
12:49:15–12:49:23  My colleague says "边缘模型有一个趋势，你就用一个伟大的、比较准确的模型，不要去拿得确信息直接去给他做预测，然后就就就流量就行了。"
12:49:23–12:49:27  I ask "有思考链是吗？"
12:49:27–12:49:31  My colleague says "不用思考链，不用思考链，直接输出。"
12:49:31–12:49:34  I say "对啊。"
12:49:34–12:49:42  Colleague says '思考链嘛嘛嘛，加思考链也行，别的那个推理模型。你你给他讲那个看看信息，就是拿到特权信息是？'
12:49:43–12:49:45  I ask '拿到什么？'
12:49:45–12:49:47  Colleague says '特权信息。'
12:49:47–12:49:49  I ask '什么？'
12:49:49–12:49:54  Colleague says '特权信息不是推理求因果。'
12:49:54–12:49:58  I say '啊对对对，就拿到结果。'
12:49:58–12:50:03  I look down at my lap.
12:50:04–12:50:11  My colleague says '这个这个方法可以做自自自蒸馏，做这个 O P S D，这个蒸馏自己，相当于你的教师模型也是你自己，但是教师模型多看了点东西。'
12:50:12–12:50:19  My colleague says '如果你你不要做 O P S D，就有更大的模型，那性能比较好。'
12:50:20–12:50:25  My colleague says '感觉你做 O P S D，已经太唠叨了。'
12:50:26–12:50:33  My colleague says '虽然是这么说，但我感觉大家没有认真在。'
12:50:34–12:50:42  Colleague says '做 SFT，就感觉 SFT 有提升很大的提升空间。大家只是纯拿数据去做，没有做数据增强，或者说怎么提高 SFT 的泛化性。'
12:50:43–12:50:50  Colleague says '虽然可能您的强化学习也能提高它的泛化性，肯定可以的。'
12:50:51–12:50:55  Colleague says '强化学习是他是自己在探索的，'
12:50:56–12:51:00  Colleague says '他不是一个逐 token 逐 token 给的一个监督信号。'
12:51:01–12:51:03  Colleague says '强化学习它……'
12:51:04–12:51:08  I observe my colleague's hand.
12:51:09–12:51:14  The colleague beside me says '奖励信号，还有叫系数语言学。做OBSD相当于把强化学习、PPO跟SFT去做了个折折中，因为OBSD它也是个主头跟的一个奖奖励信号。'
12:51:15–12:51:18  I look at the MacBook.
12:51:19–12:51:24  The colleague beside me says '然后之前的OBD都是O PPO都是结果级的奖励信号，就还是这样。'
12:51:25–12:51:27  I look at the cable chain.
12:51:28–12:51:33  The colleague beside me says '现在趋势流行做OBD，你做在SFT，那么就让你那个好多好多style。'
12:51:34–12:51:36  I look under the desk.
12:51:37–12:51:39  I read the laptop screen.
12:51:40–12:51:42  I hear '现在大家做OPD是因为要训练思考思维链吗？'
12:51:43–12:51:52  My colleague says '没，为什么要做OPD呢？OPD就是它的机动性好，比较力度比较细，然后它我可以强化学习更稳定一点。'
12:51:53–12:52:03  My colleague says '因为，因为现在我认为啊，我个人认为，就是你不能说训练一个Agent的，它的它的整个那个身是比较僵的，你可能要选一种网络选择，一种工具调用，它在。'
12:52:04–12:52:08  Colleague says '写个代码，看看分析结果，然后再思考是否能达成目标。'
12:52:08–12:52:13  Colleague says '这整、这整个这个任务的这个流程是非常长的。'
12:52:13–12:52:22  Colleague says '然后你用 I L 的话，你你就给一个最终的结果，这样模型不知道中间哪几步做对，哪几步终于做错，训练难度非常大。'
12:52:22–12:52:30  Colleague says '你用 O B D，你可以乘六偷个 level 的一个奖励信号，去偷个给个奖励信号。'
12:52:30–12:52:34  Colleague says '这是我觉得。'
12:52:34–12:52:44  The colleague beside me says "B B T 的好处就是它结合 S F T 的，系列的奖励信号，又又结合了 P P U 这种，再简单说呢，O P P O R C 的那种，这种这种差异。"
12:52:45–12:52:47  I read the vision-language model attention analysis notes.
12:52:48–12:52:54  I say "那，但是我觉得我这个任务，不，不是，不是，就是大家，别人做强化学习是为什么要做强化学习？" to my colleague.
12:52:55–12:52:58  I observe the adjacent workstation.
12:52:59–12:53:03  I say "因为怎么样？增加呢？就是，就是强化学习做完之后。" to my colleague.
12:53:04–12:53:13  Colleague says '比SMT更更厉害，对，防滑性更强，鲁棒性、防滑性更强。'
12:53:14–12:53:21  Colleague says 'TFT是一个V三六十SMT，TFT是一个R one六十在V三版本上做IL，所以所以R one为什么厉害，就是因为它做强化学习。'
12:53:22–12:53:28  I look at the partition and my lap.
12:53:29–12:53:30  I glance at the desktop fan and laptop.
12:53:31–12:53:34  I ask '那我这种人物做强化学习有什么优势啊？'
12:53:34–12:53:39  I listen to my colleague say '看你要不要刷分数？'.
12:53:39–12:53:45  I say '我得要刷分数，就往分抓着加一点。'.
12:53:45–12:53:51  I look at the desk corner and my legs.
