16:02:11–16:02:14  I examine packaged pastries.
16:02:15–16:02:17  I walk along the aisle.
16:02:18–16:02:24  I browse the toast and pastry display.
16:02:25–16:02:27  I walk past the bakery cart.
16:02:28–16:02:34  I view the chilled Swiss rolls.
16:02:35–16:02:39  I inspect the chilled dessert assortments.
16:02:40–16:02:40  I look at the dairy shelf.
16:02:41–16:02:46  I walk toward the bakery section.
16:02:47–16:02:55  I browse chilled cakes and pastries.
16:02:56–16:02:59  I walk toward the adjacent bakery island.
16:03:00–16:03:05  I browse chilled traditional pastries and iced buns.
16:03:06–16:03:08  I check the meat and deli counter.
16:03:09–16:03:11  I examine packaged sandwiches.
16:03:11–16:03:13  I look at packaged sandwiches and pastries.
16:03:13–16:03:26  I examine packaged pastries in the refrigerated counter.
16:03:27–16:03:30  I look at triangular sliced cakes.
16:03:31–16:03:35  I observe the bakery counter upper shelf.
16:03:36–16:03:37  I turn toward the dairy aisle.
16:03:38–16:03:40  I look at the durian crepe cake display.
16:03:41–16:03:44  I look at the Swiss rolls in the chiller.
16:03:45–16:03:47  I pick up a box of Swiss rolls.
16:03:48–16:03:51  I look at the standing dessert freezer.
16:03:52–16:03:57  I inspect frozen pastries in the freezer.
16:03:58–16:04:02  I turn toward the bakery bread displays.
16:04:03–16:04:07  I scan the supermarket aisle.
16:04:08–16:04:11  I look down the dairy aisle.
16:04:11–16:04:15  I walk through the dairy aisle carrying Swiss rolls.
16:04:16–16:04:24  I walk down the aisle following a staff cart.
16:04:25–16:04:31  I walk toward the self-checkout stations.
16:04:32–16:04:34  I tap '开始自助结账' on kiosk #1.
16:04:35–16:04:40  The kiosk says '请将商品条码对准右下方的条码口。' as I align the barcode.
16:04:41–16:04:46  I scan the Swiss roll barcode.
16:04:47–16:04:48  I tap the checkout button.
16:04:49–16:04:52  I open the Alipay payment code.
16:04:53–16:04:57  I pay for the Swiss roll.
16:04:58–16:05:00  I say '我尼玛！'.
16:05:01–16:05:05  I walk toward the exit.
16:05:06–16:05:10  I walk through the mall corridor.
16:05:11–16:05:14  I walk past Pandora Hair Salon.
16:05:14–16:05:17  I look at the 继光香香鸡 sign.
16:05:17–16:05:21  I examine the Swiss roll package label.
16:05:21–16:05:25  I look at the 鸡汤饭 sign.
16:05:25–16:05:29  I look at the buffet restaurant poster.
16:05:29–16:05:34  I observe the teenagers sitting near LINLEE.
16:05:34–16:05:37  I peer into the dark restaurant interior.
16:05:37–16:05:41  I walk towards the approaching woman.
16:05:41–16:05:48  I walk along the mall corridor.
16:05:48–16:05:53  I peel the yellow label off the Swiss roll container.
16:05:53–16:05:56  I read the chalkboard sign on the boutique door.
16:05:56–16:05:58  I inspect the Swiss roll box.
16:05:58–16:06:01  I observe people playing table tennis.
16:06:01–16:06:06  I read the '剪道' quick haircut salon sign.
16:06:06–16:06:11  I walk past a tobacco counter toward a home textile shop.
16:06:41–16:06:44  I walk up the stairs holding a container of Swiss rolls.
16:06:45–16:06:48  I unlatch the Swiss roll container lid.
16:06:49–16:06:51  I look at the Swiss rolls in the open container.
16:06:52–16:06:56  I take a slice of Swiss roll from the container.
16:06:57–16:07:03  I take a bite of the Swiss roll slice.
16:07:04–16:07:06  I say '嗯。'.
16:07:07–16:07:10  I ride the escalator holding the Swiss roll.
16:07:11–16:07:15  I eat cake on an escalator.
16:07:16–16:07:20  I step off the escalator.
16:07:21–16:07:25  I walk toward the mall exit.
16:07:26–16:07:30  I exit the building.
16:07:31–16:07:35  I walk along the outdoor plaza.
16:07:36–16:07:40  I continue walking while holding a cake slice.
16:07:41–16:07:46  I walk holding a box of swiss roll cakes.
16:07:47–16:07:50  I walk toward the plaza lawn.
16:07:51–16:07:54  I look at the bicycle saddle.
16:07:55–16:07:57  I look at the swiss roll cakes.
16:07:58–16:08:00  I peel the wrapper off an Earl Grey swiss roll.
16:08:01–16:08:03  I lift an Earl Grey swiss roll slice.
16:08:04–16:08:08  I inspect the Earl Grey swiss roll slice.
16:08:09–16:08:11  I adjust the parchment paper in the container.
16:08:11–16:08:14  I pick up a tea roll cake slice.
16:08:15–16:08:17  I unwrap the roll cake slice.
16:08:18–16:08:22  I examine the Swiss roll slice.
16:08:23–16:08:30  I look at the parked bicycle and scooter.
16:08:31–16:08:36  I look at the distant parked scooters and billboard.
16:08:37–16:08:40  I watch a pedestrian walk past.
16:08:41–16:08:44  I observe the walkway and parked scooters.
16:08:44–16:08:47  I watch a pedestrian walking past.
16:08:47–16:08:52  I watch a child on a balance bike pass by.
16:08:52–16:08:57  I say "Why is that so formal? I don't know."
16:08:57–16:09:03  I inspect the parked electric scooters.
16:09:04–16:09:10  I observe the delivery scooter and parked bikes.
16:09:11–16:09:14  I walk toward a white electric scooter carrying a box of roll cakes.
16:09:15–16:09:17  I sit on the electric scooter.
16:09:18–16:09:23  I peel back the parchment paper from a roll cake.
16:09:24–16:09:32  I pick up a roll cake slice.
16:09:33–16:09:35  I hold up the roll cake slice.
16:09:36–16:09:41  I take a bite of the roll cake.
16:09:41–16:09:48  I examine a bitten vanilla cream Swiss roll slice.
16:09:49–16:09:50  I look at the handlebar assembly.
16:09:51–16:09:55  I examine the cross-section of the cake slice.
16:09:56–16:09:58  I look at the handlebar grip.
16:09:59–16:10:01  I look at the roll cake slices in the container.
16:10:02–16:10:10  I inspect the bitten Swiss roll slice.
16:10:11–16:10:18  I hold a Swiss roll slice.
16:10:19–16:10:27  I eat the Swiss roll slice.
16:10:28–16:10:33  I look at the sidewalk.
16:10:34–16:10:36  I pick up a paper wrapper.
16:10:37–16:10:38  I place the paper wrapper into the container.
16:10:39–16:10:40  I close the Swiss roll box.
16:10:41–16:10:48  I inspect the Swiss roll container.
16:10:49–16:10:53  I walk along the sidewalk.
16:10:54–16:10:56  I observe a passing scooter rider.
16:10:57–16:11:00  I toss paper trash into the 干垃圾 bin.
16:11:01–16:11:03  I walk toward the parked scooters.
16:11:04–16:11:07  I approach my electric scooter.
16:11:08–16:11:11  I place the Swiss roll container into the scooter basket.
16:11:11–16:11:12  I say '嗯。对。'.
16:11:12–16:11:14  I close the front basket lid.
16:11:14–16:11:16  I scan the street and parked scooters.
16:11:16–16:11:20  I check the Freshippo payment receipt on Alipay.
16:11:20–16:11:24  I open the Hello e-bike rental mini-program on Alipay.
